EIN,NAME,STREET,CITY,STATE,ZIP,INCOME_AMT,ASSET_AMT
931296840,PORTLAND CLASSICAL CHINESE GARDEN,1 PACIFIC SQUARE 220NW 2ND AVE,PORTLAND,OR,97209-0000,2510103,1296709
931321004,INCLUSION INC,50 SE 18TH AVE,PORTLAND,OR,97214-1507,2508573,2486180
931315010,MERCY ENTERPRISE CORPORATION,43 SW NAITO PKWY,PORTLAND,OR,97204-3569,2503716,3756036
452995516,HOPE CHINESE CHARTER SCHOOL,3500 SW 104TH AVE,BEAVERTON,OR,97005-1941,2496767,1853023
930739188,NEIGHBORHOOD ECONOMIC DEVELOPMENT CORPORATION,212 MAIN ST,SPRINGFIELD,OR,97477-5370,2494082,9578835
943157812,POZNANSKI FOUNDATION,21660 SW 65TH AVE,TUALATIN,OR,97062-6746,2487512,2566158
930374385,AMERICAN LEGION,480 S MAIN ST,LEBANON,OR,97355-3309,2478391,877244
931297104,ALBERTINA KERR CENTERS FOUNDATION INC,424 NE 22ND AVE,PORTLAND,OR,97232-2809,2478021,9527863
930399048,WILLSON HOUSE,1625 CENTER ST NE,SALEM,OR,97301-4268,2477011,908002
930514708,OREGON RESTAURANT & HOSPITALITY ASSOC,8565 SW SALISH LANE,WILSONVILLE,OR,97070-6901,2472397,2305251
930549823,UMPQUA BASIN WATER ASSOCIATION INC,4972 GARDEN VALLEY RD,ROSEBURG,OR,97471-9223,2470599,14641076
931299878,CREATIVE SUPPORTS INC,930 W 8TH ST,MEDFORD,OR,97501-2908,2470318,3583494
930556298,EUGENE SYMPHONY ASSOCIATION INC,115 W 8TH AVE STE 115,EUGENE,OR,97401-2973,2469954,611300
943112571,CHRISTIAN COMMUNITY PLACEMENT CENTER,4890 32ND AVE SE,SALEM,OR,97317-9350,2467260,1931114
930801581,PORTLAND COMMUNITY MEDIA,2766 N E MLK BLVD,PORTLAND,OR,97212-3036,2466919,3562511
930637017,CENTRAL OREGON VISITORS ASSOCIATION,PO BOX 4489,SUNRIVER,OR,97707-1489,2455117,564534
200773189,CAT ADOPTION TEAM,14175 SW GALBREATH DR,SHERWOOD,OR,97140-9170,2453484,7256247
930818449,EAST LINN CHRISTIAN ACADEMY,36883 VICTORY DR,LEBANON,OR,97355-9552,2450523,4516299
930163340,EUGENE COUNTRY CLUB,255 COUNTRY CLUB RD,EUGENE,OR,97401-2293,2442156,16785862
930208571,LAKE OSWEGO CORPORATION,PO BOX 203 AP63,LAKE OSWEGO,OR,97034-0203,2439172,6135437
936272124,BRAEMAR CHARITABLE TRUST,PO BOX 25442,PORTLAND,OR,97298-0442,2434434,18210230
930503723,EASTERN OREGON ALCOHOLISM FOUNDATION,216 SW HAILEY AVE,PENDLETON,OR,97801-2943,2424433,3021596
936053828,SHEET METAL TRAINING FUND,2379 NE 178TH AVE,PORTLAND,OR,97230-5957,2422148,6205385
930620260,SOUTH COAST HORIZONS,320 CENTRAL AVE STE 201,COOS BAY,OR,97420-2241,2412518,402855
936031009,BLANCHET HOUSE OF HOSPITALITY,1500 NE IRVING ST STE 440,PORTLAND,OR,97232-4208,2408073,16335836
930472773,EMERALD KIDSPORTS,2190 POLK ST,EUGENE,OR,97405-1878,2399056,555224
936049581,WEST COAST LUMBER INSPECTION BUREAU,PO BOX 23145,PORTLAND,OR,97281-3145,2393916,2331603
930865399,HOPE VILLAGE INC,5353 COLUMBUS ST SE,ALBANY,OR,97322-7136,2388175,24034561
943144895,ROSE COMMUNITY DEVELOPMENT CORPORATION,5215 SE DUKE ST,PORTLAND,OR,97206-6839,2366898,24658900
474432319,LOVE ABOUNDS FOUNDATION,300 N VALLEY DR,GRANTS PASS,OR,97526-8533,2365574,445398
931109798,ABIQUA SCHOOL FOUNDATION,6974 BATES RD S,SALEM,OR,97306-9400,2361915,1719810
943123483,PORTLAND YOUTHBUILDERS,4816 SE 92ND AVE,PORTLAND,OR,97266-2723,2357744,1479025
680642817,MILWAUKIE ACADEMY OF THE ARTS,2301 SE WILLARD ST,PORTLAND,OR,97222-7764,2357334,16591
453543588,JUSTICE ALLIANCE CENTER INC,235 NE THIRD ST,MCMINNVILLE,OR,97128-4829,2354194,376505
930846600,METROEAST COMMUNITY MEDIA,829 NE 8TH ST,GRESHAM,OR,97030-5643,2352957,5253616
930848122,GRANTS PASS FAMILY YMCA,PO BOX 5439,GRANTS PASS,OR,97527-0439,2338413,2819307
930771833,MT HOOD HOSPICE,39065 PIONEER BLVD STE 103,SANDY,OR,97055-8087,2337847,3089985
870691702,EDDYVILLE CHARTER SCHOOL INC,PO BOX 68,EDDYVILLE,OR,97343-0068,2329423,1972443
930900110,OREGON SPORTS ACTION,4840 SW WESTERN AVENUE,BEAVERTON,OR,97005-3419,2321838,282310
810622430,PUBLIC HEALTH FOUNDATION OF COLUMBIA COUNTY,PO BOX 995,SAINT HELENS,OR,97051-0995,2321350,475878
208187573,PORTLAND MALL MANAGEMENT INC,1140 SW 11TH AVE,PORTLAND,OR,97205-2491,2308639,768446
931003750,PROVIDENCE WILLIAMETTE FALLS MEDICAL FOUNDATION,1500 DIVISION ST,OREGON CITY,OR,97045-1527,2308240,11929887
936095667,EMANUEL MEDICAL CENTER FOUNDATION,PO BOX 4484,PORTLAND,OR,97208-4484,2300785,15097672
237048829,AMERICAN CIVIL LIBERTIES FOUNDATION OF OREGON INC,506 SW 6TH AVE STE 700,PORTLAND,OR,97204-1527,2292645,2746623
943098610,OREGON ASSOCIATION OF HOSPITAL RESEARCH AND EDUCATION FOUNDATION,4000 KRUSE WAY PLACE BLDG 2 NO 100,LAKE OSWEGO,OR,97035-2543,2291066,3806257
530803417,INTERNATIONAL ASSOCIATION OF SHEET METAL AIR RAIL & TRANSPORTATION,PO BOX 4148,PORTLAND,OR,97208-4148,2289393,1183606
930692905,WOMENSPACE INC,PO BOX 50127,EUGENE,OR,97405-0970,2288156,2293338
30590874,OREGON INDIGENT DEFENSE CONSORTIUM INC,165 SE 26TH AVE,HILLSBORO,OR,97123-7024,2287873,221879
930712867,ROGUE VALLEY MANOR MEMORIAL FOUNDATION,1200 MIRA MAR AVENUE,MEDFORD,OR,97504-8546,2285129,14454195
931111589,PORTLAND HOUSING CENTER,3233 NE SANDY BLVD,PORTLAND,OR,97232-2557,2281152,13268435
931019081,RIMROCK TRAILS TREATMENT SERVICES,1333 NW 9TH ST,PRINEVILLE,OR,97754-1482,2277354,2991318
473200676,OREGON NORTHWEST WORKFORCE INVESTMENT BOARD,3788 SE HIGH SCHOOL DR,LINCOLN CITY,OR,97367-1657,2276253,468551
936027731,OREGON STATE SHERIFFS ASSOCIATION,PO BOX 7468,SALEM,OR,97303-0098,2264122,5293179
930669529,SOUTHERN OREGON PUBLIC TELEVISION INC,28 S FIR ST STE 200,MEDFORD,OR,97501-2698,2257673,1514786
931059602,EARLY EDUCATION PROGRAM INC,99 W 10TH AVE STE 340,EUGENE,OR,97401-3000,2255281,510450
930775354,MALHEUR COUNTY CHILD DEVELOPMENT CENTER,790 SW 7TH PL,ONTARIO,OR,97914-3261,2254930,327585
931116265,HOUSING DEVELOPMENT CENTER INC,847 NE 19TH AVE STE 150,PORTLAND,OR,97232-2686,2242958,4479597
930491360,CARPENTER FOUNDATION,824 E MAIN ST STE 102,MEDFORD,OR,97504-7135,2240344,17344321
931254171,MARIE LAMFROM CHARITABLE FOUNDATION 091898,9740 SW HILLMAN CT STE 200,WILSONVILLE,OR,97070-7710,2237077,22596570
208020190,CHARLES D TROVER FAMILY FOUNDATION,16025 SW ROBERTS RD,SHERWOOD,OR,97140-5061,2234867,6163832
451457029,SAUVIE ISLAND SCHOOL,14445 NW CHARLTON RD,PORTLAND,OR,97231-1402,2233494,1141558
931246381,FRANKLIN AND DOROTHY PIACENTINI CHARITABLE TRUST,900 NW LOVEJOY ST APT 903,PORTLAND,OR,97209-3482,2226710,2577695
926004561,INTERACT MINISTRIES INC,31000 SE KELSO RD,BORING,OR,97009-6024,2225964,2320457
911015971,PUBLIC POWER COUNCIL,650 NE HOLLADAY ST STE 810,PORTLAND,OR,97232-2098,2223189,1440274
930847905,HEALTH CARE FOR THE MID-COLUMBIA REGION,PO BOX 1580,THE DALLES,OR,97058-8004,2217168,3524701
930710963,RAPHAEL HOUSE OF PORTLAND,4110 SE HAWTHORNE BL 503,PORTLAND,OR,97214-5246,2212542,3963225
930873280,KLAMATH LAKE COUNTIES FOOD BANK,PO BOX 317,KLAMATH FALLS,OR,97601-0013,2210209,883988
821057365,JOHN AND ELIZABETH ALLTUCKER CHARITABLE FOUNDATION,339 SILVER HILLS CIR SE,SALEM,OR,97306-1882,2207195,2156620
930508938,NORTH PACIFIC HOMES INC,4501 WEST POWELL BLVD,GRESHAM,OR,97030-5095,2207134,6640809
930480174,ST PAUL RODEO ASSOCIATION,PO BOX 175,SAINT PAUL,OR,97137-0175,2206463,4154129
930386836,FRUIT AND FLOWER DAY NURSERY OF PORTLAND,2378 NW IRVING ST,PORTLAND,OR,97210-3225,2201571,2135121
931305216,WALTER R BEHRENS FOUNDATION,820 BARTLETT ST,SILVERTON,OR,97381-1238,2199512,1917072
931318954,KINGS VALLEY CHARTER SCHOOL,38840 KINGS VALLEY HWY,PHILOMATH,OR,97370-9750,2194735,710602
930591772,PARROTT CREEK CHILD AND FAMILY SERVICES,1001 MOLALLA AVE STE 209,OREGON CITY,OR,97045-3768,2192496,1131819
383692646,ASHER COMMUNITY HEALTH CENTER,PO BOX 307,FOSSIL,OR,97830-0307,2188778,2765481
930408077,MAZAMAS,527 SE 43RD AVE,PORTLAND,OR,97215-1608,2183085,2114336
931255401,EDUCATION TRAVEL & CULTURE INC,1029 SW WASHINGTON ST 2ND FLOOR,PORTLAND,OR,97205-2613,2181772,3213817
930780364,YOUTH CONTACT,447 SE BASELINE ST,HILLSBORO,OR,97123-4103,2178022,3528600
930604321,PACIFIC NORTHWEST OUTREACH INC,109 N MAIN AVE STE 206A,GRESHAM,OR,97030-7200,2159188,18610
930692907,PROVIDENCE COMMUNITY HEALTH FOUNDATION,1111 CRATER LAKE AVE,MEDFORD,OR,97504-6241,2154462,9961362
930766087,OREGON GYMNASTICS ACADEMY,16305 NW BETHANY CT STE 109,BEAVERTON,OR,97006-4688,2151199,898141
204681686,IVY SCHOOL A MONTESSORI CHARTER,4212 NE PRESCOTT ST,PORTLAND,OR,97218-1632,2149478,2623746
930676661,SAFEHAVEN HUMANE SOCIETY,32220 OLD HIGHWAY 34,TANGENT,OR,97389-9770,2135023,5409744
464704743,DRESSEMBER FOUNDATION,PO BOX 1092,ASHLAND,OR,97520-0037,2132848,370210
930228976,MONITOR COOPERATIVE TELEPHONE COMPANY,15265 WOODBURN MONITOR RD NE,WOODBURN,OR,97071-8529,2119360,5449037
473873798,SOUTHWESTERN OREGON WORKFORCE INVESTMENT BOARD,990 S 2ND ST,COOS BAY,OR,97420-1405,2114667,394138
930471981,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,3645 SE 32ND AVE,PORTLAND,OR,97202-3019,2110996,1927301
930722979,CASCADE PACIFIC RESOURCE CONSERVATION & DEVELOPMENT,PO BOX 905,CORVALLIS,OR,97339-0905,2110757,673248
371780990,EASTERN OREGON WORKFORCE INVESTMENT BOARD,PO BOX 933,LA GRANDE,OR,97850-0933,2107229,333327
930455011,EUGENE HEARING & SPEECH CENTER,PO BOX 5623,EUGENE,OR,97405-0623,2104569,147463
930850607,MARITIME FIRE AND SAFETY ASSOCIATION,200 SW MARKET ST STE L190,PORTLAND,OR,97201-5711,2101370,4277577
465267468,WORLD OF SPEED,27490 SW 95TH AVE,WILSONVILLE,OR,97070-9201,2100600,3170611
930521848,YOUNG AUDIENCES OF OREGON INC,1220 SW MORRISON ST STE 1000,PORTLAND,OR,97205-2229,2099525,741016
931208721,BILL HEALY FOUNDATION,PO BOX 4525,PORTLAND,OR,97208-4525,2099092,33416448
931111344,NORTHWEST CHILDRENS THEATER AND SCHOOL INC,1819 NW EVERETT ST STE 206,PORTLAND,OR,97209-2189,2092734,655693
330317937,CHILD AID,917 SW OAK ST STE 208,PORTLAND,OR,97205-2805,2092478,2193144
930339108,ALUMNI ASSOCIATION OF THE UNIVERSITY OF OREGON,1720 E 13TH AVE STE 119,EUGENE,OR,97403-2253,2092425,15834049
930298400,THE TOWN CLUB,2115 SW SALMON ST,PORTLAND,OR,97205-1559,2086480,5449673
931252146,SOFTWOOD EXPORT COUNCIL,720 NE FLANDERS ST STE 207,PORTLAND,OR,97232-2763,2084573,309254
811698585,CERRO GORDO LAND CONSERVANCY,PO BOX 192,COTTAGE GROVE,OR,97424-0007,2082406,303883
930386820,BOY SCOUTS OF AMERICA,3039 HANLEY RD,CENTRAL POINT,OR,97502-1474,2082276,2828417
931320949,LUCKIAMUTE VALLEY CHARTER SCHOOLS,17475 BRIDGEPORT RD,DALLAS,OR,97338-9458,2081253,2050567
270728766,ARCO IRIS SPANISH IMMERSION CHARTER SCHOOL,11815 SW TERRA LINDA ST,BEAVERTON,OR,97005-1524,2080267,1548965
611776451,BLUM FAMILY FOUNDATION,3124 TAYLOR RD,CENTRAL POINT,OR,97502-9723,2078752,4226610
330919329,GRANTMAKERS FOR EDUCATION,700 SW AVE SUITE 4000,PORTLAND,OR,97204-0000,2078469,1895369
203206107,NORTHWEST COLLEGE OF CONSTRUCTION,8111 NE HOLMAN ST,PORTLAND,OR,97218-4021,2078297,974387
930846112,MT BACHELOR SPORTS EDUCATION FOUNDATION,563 SW 13TH ST STE 201,BEND,OR,97702-3156,2069870,745128
870745111,CRICKET DEBT COUNSELING,219 SW STARK SUITE 200,PORTLAND,OR,97204-2648,2065946,4391025
936031951,PORTLAND METROPOLITAN ASSOCIATION OF REALTORS,150 SW HARRISON ST STE 200,PORTLAND,OR,97201-5392,2062613,2347642
930513239,CASCADE CENTRAL CREDIT UNION,1206 12TH ST,HOOD RIVER,OR,97031-1604,2053861,67393942
113764984,ST STEPHENS ACADEMY,7275 SW HALL BLVD,BEAVERTON,OR,97008-5723,2046677,756897
916532370,WESTERN STATES POLICE MEDICAL TRUST,PO BOX 4148,PORTLAND,OR,97208-4148,2043780,3553027
431992271,FAIRBRIDGE FOUNDATION,17373 CANYON DR,LAKE OSWEGO,OR,97034-6711,2042034,7662504
930954555,MONTESSORI SCHOOL OF BEAVERTON LTD,11065 NW CRYSTAL CREEK LN,PORTLAND,OR,97229-4295,2040756,4524415
931079241,PORTLAND CITY UNITED SOCCER CLUB INC,3439 NE SANDY BLVD,PORTLAND,OR,97232-1959,2027026,306674
204379510,MICRO ENTERPRISE SERVICES OF OREGON,4008 NE MARTIN LUTHER KING JR BLVD,PORTLAND,OR,97212-1119,2025213,5057025
931301833,SWALLOWTAIL SCHOOL INC,460 S HEATHER ST,CORNELIUS,OR,97113-7009,2024501,3745699
930524232,FRIENDLY HOUSE INC,2617 NW SAVIER ST,PORTLAND,OR,97210-2413,2020927,1690250
232743830,OREGON GOLF ASSOCIATION,2840 HAZELNUT DR,WOODBURN,OR,97071-9698,2019049,4574870
451300894,LE MONDE IMMERSION,2044 E BURNSIDE,PORTLAND,OR,97214-1674,2017432,1190359
510172420,PIVOT POINT INC,PO BOX 12544,SALEM,OR,97309-0544,2007569,487620
930854433,MID-COLUMBIA HEALTH FOUNDATION,PO BOX 1580,THE DALLES,OR,97058-8004,2007031,5945918
930783096,MOBILITY INTERNATIONAL USA,132 E BROADWAY STE 343,EUGENE,OR,97401-3155,1998395,1228567
930633804,COMMUNITY WORKS INC,2594 E BARNETT ROAD,MEDFORD,OR,97504-4330,1991748,1288107
930241680,OREGON BANKERS ASSOCIATION,PO BOX 13429,SALEM,OR,97309-1429,1989172,3894404
202985223,NAZARENE HOSPITAL FOUNDATION,3282 MILLER CT,MEDFORD,OR,97504-8376,1986270,268822
941712448,WESTERN FIRE CHEIFS ASSN,25030 SW PARKWAY AVE STE 330,WILSONVILLE,OR,97070-9609,1983003,1209451
930700108,LAKEWOOD THEATRE COMPANY,PO BOX 274,LAKE OSWEGO,OR,97034-0032,1982489,4730384
521938720,THE NATIONAL DRY BEAN COUNCIL INCORPORATED,1161 NW OVERTON STREET,PORTLAND,OR,97209-2679,1975117,505464
300180905,COMMUNITY ACTION PARTNERSHIP OF OREGON,350 MISSION ST SE STE 201,SALEM,OR,97302-6212,1967254,411690
421560891,MOUNTAINSTAR FAMILY RELIEF NURSERY,2125 NE DAGGETT LN,BEND,OR,97701-6560,1966810,953221
930477279,OREGON ASSOCIATION OF NURSERIES,29751 SW TOWN CENTER LOOP W,WILSONVILLE,OR,97070-9774,1959924,1828089
911583492,COLUMBIA RIVERKEEPER,111 3RD ST,HOOD RIVER,OR,97031-2009,1958637,1591612
936032883,AMERICAN RHODODENDRON SOCIETY,PO BOX 86424,PORTLAND,OR,97286-0424,1956352,4767889
936088946,MERCY FOUNDATION INC,2700 NW STEWART PKWY,ROSEBURG,OR,97471-1281,1953619,4159327
263967833,PORTLAND HOMELESS FAMILY SOLUTIONS,1221 SW YAMHILL ST STE 210,PORTLAND,OR,97205-2109,1942508,504328
931276816,VOLUNTEERS IN MEDICINE CLINIC,2260 MARCOLA RD,SPRINGFIELD,OR,97477-2594,1939917,2587852
470909658,GRANDE RONDE MODEL WATERSHED FOUNDATION,1114 J AVE,LA GRANDE,OR,97850-2073,1938402,221895
930505516,EUGENE SWIM & TENNIS CLUB,2766 CRESCENT AVE,EUGENE,OR,97408-4742,1937745,2557700
930391641,TURNER RETIREMENT HOMES INC,PO BOX 58,TURNER,OR,97392-0058,1937033,6260042
810670151,EQUALITY FEDERATION INSTITUTE,818 SW 3RD AVE NO 141,PORTLAND,OR,97204-2405,1931449,731066
530259080,SHEET METAL WORKERS INTERNATIONAL ASSOCIATION,3140 NE BROADWAY ST,PORTLAND,OR,97232-1813,1928521,913413
510141214,CENTER FOR HOPE AND SAFETY,605 CENTER ST NE,SALEM,OR,97301-3749,1925960,3903491
931311037,THE LIGHTHOUSE SCHOOL,62858 HIGHWAY 101,COOS BAY,OR,97420-3895,1921128,1637960
208678122,HEARTS WITH A MISSION,711 MEDFORD CENTER 334,MEDFORD,OR,97504-6772,1920986,2180023
521043668,BOYS AND GIRLS CLUB OF THE GREATER SANTIAM,305 S 5TH ST,LEBANON,OR,97355-2700,1918235,1100757
472606838,TAREEN FILGAS FOUNDATION,PO BOX 2445,TUALATIN,OR,97062-2445,1916773,12918019
943116602,ENVIRONMENTAL LAW ALLIANCE WORLDWIDE,1412 PEARL ST,EUGENE,OR,97401-4036,1916190,2581129
931296441,RIDGELINE MONTESSORI PUBLIC CHARTER SCHOOL,4500 W AMAZON DR,EUGENE,OR,97405-4652,1903949,2618812
931040496,HABITAT FOR HUMANITY INTERNATIONAL INC,PO BOX 1551,CORVALLIS,OR,97339-1551,1893956,3855014
930224840,MERCHANTS EXCHANGE,200 SW MARKET ST STE L190,PORTLAND,OR,97201-5711,1889731,1533366
931146901,FRIENDS OF THE CHILD ADVOCACY CENTER INC,2675 MARTIN LUTHER KING JR BLVD,EUGENE,OR,97401-5899,1889262,1460313
931306735,OREGON HUNTERS ASSOCIATION,PO BOX 1706,MEDFORD,OR,97501-0252,1888324,1518190
930951954,CONSTRUCTION INDUSTRY TRAINING TR,8111 NE HOLMAN ST,PORTLAND,OR,97218-4021,1883565,3122860
931164757,INDIA PARTNERS,PO BOX 5470,EUGENE,OR,97405-0470,1880815,587546
931025497,HABITAT FOR HUMANITY INTERNATIONAL,4676 COMMERCIAL STREET SE 332,SALEM,OR,97302-1902,1862968,5109160
460878707,PORTLAND MONTESSORI SCHOOL,205 NE 50TH AVE,PORTLAND,OR,97213-2909,1857714,304205
931158929,ASHLAND PARKS FOUNDATION,340 S PIONEER ST,ASHLAND,OR,97520-2729,1847163,1459196
931290320,PROUD GROUND,5288 N INTERSTATE AVE,PORTLAND,OR,97217-3767,1845679,22730736
931131186,ASHBROOK INDEPENDENT SCHOOL,4045 SW RESEARCH WAY,CORVALLIS,OR,97333-1065,1844348,9512670
930957815,NORTH COAST LAND CONSERVANCY INC,PO BOX 67,SEASIDE,OR,97138-0067,1843320,20145248
931306626,LEAD,PO BOX 583,EUGENE,OR,97440-0583,1836211,486045
880377911,AIM HIGH ACADEMY OF MARTIAL ARTS INC,16205 NW BETHANY CT STE 100,BEAVERTON,OR,97006-4687,1831149,146762
270734969,MASLOW PROJECT,500 MONROE ST,MEDFORD,OR,97501-3522,1829447,1720721
930331712,WESTERN FORESTRY & CONSERVATION ASSOCIATION,4033 SW CANYON RD,PORTLAND,OR,97221-2760,1824805,1251591
931071103,SPECIAL DELIVERY DENTAL CARE INC,6319 SE POWELL BLVD,PORTLAND,OR,97206-2751,1817784,750502
141872327,FAMILY TREE RELIEF NURSERY,PO BOX 844,ALBANY,OR,97321-0305,1815754,679044
930306515,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,1860 NE 162ND AVE,PORTLAND,OR,97230-5642,1813830,1368424
930854417,FIRST IMAGE,7931 NE HALSEY ST STE 200,PORTLAND,OR,97213-6755,1811249,322840
431964291,REID SAUNDERS EVANGELISTIC ASSOCIATION,PO BOX 4275,SALEM,OR,97302-8275,1808132,1309816
930847710,PIONEER COURTHOUSE SQUARE OF PORTLAND INC,715 SW MORRISON ST STE 702,PORTLAND,OR,97205-3103,1806428,2046596
931294144,AREA 1 ELECTRICAL EDUCATION TRUST,6915 NE 42ND AVE,PORTLAND,OR,97218-1105,1803450,3543425
811902616,BRIDES FOUNDATION,2505 SE 11TH AVE STE 120,PORTLAND,OR,97202-1061,1800625,737614
946801987,REDWOOD EMPIRE PUBLIC SAFETY MEDICAL TR,3140 NE BROADWAY ST,PORTLAND,OR,97232-1813,1799112,4631857
931307461,MITCH CHARTER SCHOOL,19550 SW 90TH CT,TUALATIN,OR,97062-7505,1797378,1765141
930386978,YOUNG MENS CHRISTIAN ASSOCIATION OF KLAMATH COUNTY,1221 S ALAMEDA AVE,KLAMATH FALLS,OR,97603-3657,1780894,1116620
205797920,PUBLIC DEFENDER OF MARION COUNTYINC,198 COMMERCIAL ST SE STE 240,SALEM,OR,97301-3496,1780561,640956
205865035,NORTHWEST COMMUNITY CONNECTIONS INC,919 NE 19TH AVENUE,PORTLAND,OR,97232-2210,1777977,1660643
930332519,RACQUET CLUB,1853 SW HIGHLAND RD,PORTLAND,OR,97221-2731,1777715,1544594
930196305,INTERNATIONAL LONGSHORE & WAREHOUSE UNION,2435 NW FRONT AVE,PORTLAND,OR,97209-1824,1774523,386870
680516066,AMYOTROPHIC LATERAL SCLEROSIS ASSOCIATION,700 NE MULTNOMAH ST STE 210,PORTLAND,OR,97232-4102,1774351,1734906
912141962,GREAT NORTHWEST ATHLETIC CONFERENCE,8800 SE SUNNYSIDE RD,CLACKAMAS,OR,97015-5738,1773801,215237
930358258,SURPLUS LINE ASSOCIATION OF OREGON,7360 SW HUNZIKER RD STE 105,PORTLAND,OR,97223-2305,1770324,4371239
931222072,VERITAS SCHOOL,26288 NE BELL RD,NEWBERG,OR,97132-6867,1769771,2276411
263630613,SILVIES RIVER CHARTER SCHOOL,39235 HIGHWAY 205,FRENCHGLEN,OR,97736-9704,1769697,1901233
930591386,HOMESTEAD YOUTH & FAMILY SERVICES INC,PO BOX 1325,PENDLETON,OR,97801-0260,1763631,1713430
930386838,GERMAN AMERICAN SOCIETY,5626 NE ALAMEDA ST,PORTLAND,OR,97213-3422,1761750,10316514
931117662,PORTLAND POLICE ASSOCIATION,1868 N LOMBARD ST,PORTLAND,OR,97217-5662,1760684,4274843
931221623,CARL AND CAMILLA RIETMAN CHARITABLE FOUNDATION,1784 KOOS BAY BLVD,COOS BAY,OR,97420-2634,1760036,5308962
465759569,CHILDRENS CANCER THERAPY DEVELOPMENT INSTITUTE,12655 SW BEAVERDAM RD,BEAVERTON,OR,97005-2129,1751968,889034
930556378,AMERICAN CIVIL LIBERTIES UNION,PO BOX 40585,PORTLAND,OR,97240-0585,1748619,2928558
273067948,ROCKWOOD MSC QALICB INC,12350 SE POWELL BLVD,PORTLAND,OR,97236-3432,1737853,3864781
262020559,BEND ATTORNEY GROUP,327 NW GREENWOOD AVE,BEND,OR,97703-1924,1734186,153390
930328609,GRAND CHAPTER OF OREGON,PO BOX 68257,OAK GROVE,OR,97268-0257,1728516,1715273
930257930,PORTLAND YACHT CLUB,1241 NE MARINE DR,PORTLAND,OR,97211-1109,1727745,5161768
453726266,CRAWMERS CRITTERZ,2891 NE CONNERS AVE,BEND,OR,97701-8736,1725891,112805
930179776,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,1230 NE 106TH AVE,PORTLAND,OR,97220-3933,1724075,446298
473435485,SEK-WET-SE CORPORATION,3050 TREMONT ST,NORTH BEND,OR,97459-3059,1723336,8038097
931244973,CORVALLIS CARING PLACE,5353 COLUMBUS ST SE,ALBANY,OR,97322-7136,1721695,4918918
931031300,INTERTRIBAL TIMBER COUNCIL,1112 NE 21ST AVENUE,PORTLAND,OR,97232-2595,1719770,2201117
263161884,COLLEGE DREAMS INC,2158 NE INDUSTRY DR,GRANTS PASS,OR,97526-1670,1717434,936523
204055635,COLUMBIA COUNTY INDIGENT DEFENSE CORPORATION,255 S 1ST ST,SAINT HELENS,OR,97051-2003,1715336,391051
930838318,CATHOLIC BROADCASTING NORTHWEST INC,5201 SW WESTGATE DR STE 220,PORTLAND,OR,97221-2425,1714834,3130879
260389639,FEDORA COMMONS INC,9450 SW GEMINI DR PMB 79059,BEAVERTON,OR,97008-7105,1712816,1267951
203837778,EAGLERIDGE HIGH SCHOOL,677 S 7TH ST,KLAMATH FALLS,OR,97601-6223,1712498,4418127
10765884,NORTH CLACKAMAS CHRISTIAN SCHOOL,19575 SEBASTIAN WAY,OREGON CITY,OR,97045-8128,1706844,616925
931150643,INTERMOUNTAIN PUBLIC DEFENDERS INC,331 SE BYERS AVE,PENDLETON,OR,97801-2324,1706000,706703
208688122,SOCIALLY RESPONSIBLE AGRICULTURALPROJECT INC,249 LIBERTY ST NE STE 212,SALEM,OR,97301-3607,1697426,571859
300507198,PORTLAND PLAYHOUSE,602 NE PRESCOTT ST,PORTLAND,OR,97211-3966,1696453,1762954
931235731,SID AND KAREN DEBOER FOUNDATION,1221 SW YAMHILL ST STE 100,PORTLAND,OR,97205-2108,1693114,167062
930588108,BOYS & GIRLS CLUBS OF THE ROGUE VALLEY,203 SE 9TH ST,GRANTS PASS,OR,97526-3022,1691024,2410227
20704277,SILETZ VALLEY SCHOOL,PO BOX 247,SILETZ,OR,97380-0247,1673589,2056390
931264297,CHILDSWORK LEARNING CENTER INC,4235 SE SALMON ST,PORTLAND,OR,97215-2442,1669777,1100254
911819749,COLUMBIA PACIFIC FOOD BANK,PO BOX 1031,SAINT HELENS,OR,97051-8031,1668840,415535
931310666,CHILDRENS TRUST FUND OF OREGON FOUNDATION,PO BOX 14694,PORTLAND,OR,97293-0694,1667785,5160984
930797194,SAVING GRACE IMAGINE LIFE WITHOUT VIOLENCE,1004 NW MILWAUKEE AVE STE 100,BEND,OR,97703-2244,1665325,1422461
272767920,COMMUNITY PATHWAYS,525 NE OREGON ST STE 525,PORTLAND,OR,97232-2762,1662145,1448328
911748485,DESCHUTES RIVER CONSERVANCY,PO BOX 1560,BEND,OR,97709-1560,1647900,1362064
203435655,COBURG COMMUNITY CHARTER SCHOOL,91274 N COBURG RD,COBURG,OR,97408-9450,1646125,1593220
743098100,CENTER FOR INTERCULTURAL ORGANIZING,700 N KILLINGSWORTH ST,PORTLAND,OR,97217-2333,1645248,809927
261469914,HUDDART FAMILY FOUNDATION,109 S 1ST ST,SILVERTON,OR,97381-1609,1641646,3236535
930805586,ASHLAND SUPPORTIVE HOUSING AND COMMUNITY OUTREACH INC,PO BOX 3536,ASHLAND,OR,97520-0318,1635997,2689871
