,RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD_x,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,NAME,ICO,STREET,CITY,STATE,ZIP,SUBSECTION,INCOME_AMT,ASSET_AMT,REVENUE_AMT,TAX_PERIOD_y,NTEE_CD
1029,16346797,EFILE,930331712,201812,5/28/2019 1:52:18 PM,WESTERN FORESTRY AND CONSERVATION ASSOC,990O,93493124002159,201901249349300215,WESTERN FORESTRY & CONSERVATION ASSOCIATION,,4033 SW CANYON RD,PORTLAND,OR,97221-2760,4,2315385.0,1503916.0,2315385.0,201812.0,
6565,15199602,EFILE,931019081,201706,3/2/2018 9:06:40 PM,CENTRAL OREGON EXTENDED UNIT FOR RECOVERY INC DBA RIMROCK TRAILS,990,93493012001158,201800129349300115,RIMROCK TRAILS TREATMENT SERVICES,,1333 NW 9TH ST,PRINEVILLE,OR,97754-1482,3,2313816.0,3670438.0,2313816.0,201806.0,F22Z
2239,16595923,EFILE,936027213,201812,8/23/2019 8:58:21 PM,FRERES FOUNDATION CO FRERES LUMBER CO,990PF,93491135027159,201901359349102715,FRERES FOUNDATION,% FRERES LUMBER CO INC,PO BOX 276,LYONS,OR,97358-0276,3,2307520.0,3477902.0,,201812.0,
3160,16288513,EFILE,930710963,201806,5/10/2019 5:28:12 PM,RAPHAEL HOUSE OF PORTLAND,990,93493060011489,201930609349301148,RAPHAEL HOUSE OF PORTLAND,,4110 SE HAWTHORNE BL 503,PORTLAND,OR,97214-5246,3,2306175.0,3828194.0,2195851.0,201806.0,P430
2486,16758860,EFILE,930766087,201812,10/18/2019 9:34:45 AM,OREGON GYMNASTICS ACADEMY,990,93493225022319,201912259349302231,OREGON GYMNASTICS ACADEMY,,16305 NW BETHANY CT STE 109,BEAVERTON,OR,97006-4688,3,2302143.0,1058415.0,2283827.0,201812.0,N70
4866,16298014,EFILE,936095667,201803,5/14/2019 11:04:27 AM,EMANUEL MEDICAL CENTER FOUNDATION,990,93493046021659,201900469349302165,EMANUEL MEDICAL CENTER FOUNDATION,,PO BOX 4484,PORTLAND,OR,97208-4484,3,2300785.0,15097672.0,2299007.0,201803.0,E22I
6340,15893333,EFILE,931010269,201712,11/8/2018 12:28:08 PM,WESTERN ENVIRONMENTAL LAW CENTER,990,93493282012278,201822829349301227,WESTERN ENVIRONMENTAL LAW CENTER,% GREGORY COSTELLO,120 SHELTON MCMURPHEY BLVD STE 340,EUGENE,OR,97401-8718,3,2296814.0,2530197.0,2296814.0,201812.0,
4867,16211159,EFILE,237048829,201803,4/10/2019 5:24:59 PM,AMERICAN CIVIL LIBERTIES UNION FOUNDATION OF OREGON INC,990,93493044009159,201900449349300915,AMERICAN CIVIL LIBERTIES FOUNDATION OF OREGON INC,,506 SW 6TH AVE STE 700,PORTLAND,OR,97204-1527,3,2292645.0,2746623.0,2128419.0,201803.0,R600
3811,16559800,EFILE,451300894,201806,8/9/2019 7:47:51 PM,LE MONDE IMMERSION,990,93493134039079,201921349349303907,LE MONDE IMMERSION,,2044 E BURNSIDE,PORTLAND,OR,97214-1674,3,2288502.0,1192037.0,2288502.0,201806.0,B29
3398,15931263,EFILE,930692905,201806,11/21/2018 5:31:09 AM,WOMENSPACE INC,990,93493298002478,201822989349300247,WOMENSPACE INC,,PO BOX 50127,EUGENE,OR,97405-0970,3,2288156.0,2293338.0,2266964.0,201806.0,P43Z
2165,16880843,EFILE,320305052,201812,11/22/2019 12:10:28 PM,OREGON HEALTH LEADERSHIP COUNCIL,990O,93493282003439,201932829349300343,OREGON HEALTH LEADERSHIP COUNCIL,% GEORGE BROWN,11740 SW 68TH PKWY STE 100,PORTLAND,OR,97223-9038,6,2286582.0,1740083.0,2286582.0,201812.0,S41
4166,16609663,EFILE,930722979,201806,8/30/2019 6:24:55 AM,CASCADE PACIFIC RCANDD AREA,990,93493140012109,201901409349301210,CASCADE PACIFIC RESOURCE CONSERVATION & DEVELOPMENT,% MOLLY DAVIS,PO BOX 905,CORVALLIS,OR,97339-0905,3,2282248.0,629618.0,2282248.0,201806.0,S200
1401,16376368,EFILE,931102228,201812,6/4/2019 8:35:00 PM,METRO MULTIFAMILY HOUSING ASSOCIATION,990O,93493101011549,201941019349301154,METRO MULTIFAMILY HOUSING ASSOCIATION,,16083 SW UPPER BOONES FERRY ROAD SU,TIGARD,OR,97224-7736,6,2279905.0,803412.0,2185324.0,201812.0,
6448,15855036,EFILE,931326797,201712,10/31/2018 11:31:57 AM,FREDERICK D AND GAIL Y JUBITZ FOUNDATION,990PF,93491152004168,201811529349100416,THE FREDERICK D & GAIL Y JUBITZ FOUNDATION,% FREDERICK D JUBITZ PRES,33 NE MIDDLEFIELD RD,PORTLAND,OR,97211-1233,3,2279640.0,1974320.0,,201812.0,T21
6635,15239225,EFILE,810622430,201706,3/30/2018 1:14:16 PM,PUBLIC HEALTH FOUNDATION OF COLUMBIA COUNTY,990,93493072000308,201800729349300030,PUBLIC HEALTH FOUNDATION OF COLUMBIA COUNTY,,PO BOX 995,SAINT HELENS,OR,97051-0995,3,2274623.0,491204.0,2274623.0,201806.0,E112
3461,16283392,EFILE,931090285,201806,5/9/2019 2:51:04 PM,MT ASHLAND ASSOCIATION,990,93493077008459,201900779349300845,MT ASHLAND ASSOCIATION,,693 WASHINGTON ST STE A,ASHLAND,OR,97520-3726,3,2269922.0,4228431.0,2060713.0,201806.0,O20Z
6415,15838144,EFILE,931191941,201712,10/26/2018 2:17:08 PM,MERRILL FAMILY FOUNDATION INC,990PF,93491241010058,201802419349101005,MERRILL FAMILY FOUNDATION INC,% CHARLES W MERRILL,17952 SW PARRISH LN,SHERWOOD,OR,97140-8857,3,2264532.0,5610970.0,,201812.0,B82Z
3457,16279285,EFILE,204681686,201806,5/8/2019 9:18:54 PM,IVY SCHOOL A MONTESSORI CHARTER,990,93493100012519,201911009349301251,IVY SCHOOL A MONTESSORI CHARTER,% TAMMY KENNEDY,5420 N INTERSTATE AVE,PORTLAND,OR,97217-4569,3,2262105.0,2743799.0,2251493.0,201806.0,B29
6231,16004108,EFILE,237147034,201712,12/14/2018 12:51:51 PM,ALBANY BOYS AND GIRLS FOUNDATION INC,990,93493312033968,201813129349303396,ALBANY BOYS & GIRLS CLUB FOUNDATION INC,% BRUDVIG AND BAKER CPAS,PO BOX 825,ALBANY,OR,97321-0294,3,2257760.0,6451473.0,1701511.0,201812.0,O230
3658,16152707,EFILE,930669529,201806,3/7/2019 5:50:18 AM,SOUTHERN OREGON PUBLIC TELEVISION,990,93493337000558,201803379349300055,SOUTHERN OREGON PUBLIC TELEVISION INC,,28 S FIR ST STE 200,MEDFORD,OR,97501-2698,3,2257673.0,1514786.0,2257673.0,201806.0,A32Z
4648,16246673,EFILE,930775354,201806,4/26/2019 5:27:09 PM,MALHEUR COUNTY CHILD DEVELOPMENT CENTER,990,93493016005479,201920169349300547,MALHEUR COUNTY CHILD DEVELOPMENT CENTER,,790 SW 7TH PL,ONTARIO,OR,97914-3261,3,2254930.0,327585.0,2254930.0,201806.0,B210
3100,16228144,EFILE,530259080,201806,4/19/2019 9:11:17 AM,SHEET METAL WORKERS LOCAL 100 APPRENT TRUST FUND OF THE WASH DC AREA,990O,93493053004169,201910539349300416,SHEET METAL WORKERS INTERNATIONAL ASSOCIATION,% ROBERT WALTER,3140 NE BROADWAY ST,PORTLAND,OR,97232-1813,9,2247629.0,1980482.0,2247629.0,201806.0,
6071,15884986,EFILE,205797920,201712,11/7/2018 2:06:46 PM,PUBLIC DEFENDER OF MARION COUNTY INC,990,93493269010138,201832699349301013,PUBLIC DEFENDER OF MARION COUNTYINC,% CATHY FLEMING,198 COMMERCIAL ST SE STE 240,SALEM,OR,97301-3496,3,2244671.0,799877.0,2244671.0,201812.0,R99
6606,15813130,EFILE,930429383,201706,10/19/2018 7:10:23 PM,CANYONVILLE CHRISTIAN ACADEMY,990,93493134101188,201831349349310118,CANYONVILLE ACADEMY INC,,PO BOX 1100,CANYONVILLE,OR,97417-1100,3,2240516.0,2917682.0,2240516.0,201806.0,
2375,16523926,EFILE,930724422,201812,7/26/2019 6:20:40 AM,ASTORIA HIGH SCHOOL SCHOLARSHIPS INC,990,93493155004329,201921559349300432,ASTORIA HIGH SCHOOL SCHOLARSHIPS INC,,PO BOX 598,ASTORIA,OR,97103-0598,3,2236282.0,7366207.0,529249.0,201812.0,B25I
604,16528272,EFILE,930850607,201812,7/26/2019 10:48:04 PM,MARITIME FIRE AND SAFETY ASSOCIATION,990O,93493169002439,201931699349300243,MARITIME FIRE AND SAFETY ASSOCIATION,,200 SW MARKET ST STE L190,PORTLAND,OR,97201-5711,6,2235837.0,4624423.0,2235837.0,201812.0,
4534,16261089,EFILE,931059602,201806,5/2/2019 12:13:14 PM,EARLY EDUCATION PROGRAM INC,990,93493074011889,201930749349301188,EARLY EDUCATION PROGRAM INC,% GEORGIA LAYTON DIR,99 W LOTH AVE SUITE 340,EUGENE,OR,97401-0000,3,2235376.0,429633.0,2233575.0,201806.0,
5279,16103942,EFILE,931259522,201712,2/16/2019 10:41:55 AM,OREGON PUBLIC HEALTH INSTITUTE,990,93493319065698,201843199349306569,OREGON PUBLIC HEALTH INSTITUTE,% PAIGE SIPES-METZLER,411 NE 19TH AVE BDG 1 FIRST FLOOR,PORTLAND,OR,97232-4801,3,2234317.0,1133745.0,2234317.0,201812.0,E21
3152,16264393,EFILE,451457029,201806,5/3/2019 6:21:13 AM,SAUVIE ISLAND ACADEMY,990,93493021006169,201910219349300616,SAUVIE ISLAND SCHOOL,% MATT BRUBAKER,14445 NW CHARLTON RD,PORTLAND,OR,97231-1402,3,2233494.0,1141558.0,2233494.0,201806.0,B29
3439,15982671,EFILE,208678122,201806,12/7/2018 8:46:30 AM,HEARTS WITH A MISSION,990,93493310020198,201843109349302019,HEARTS WITH A MISSION,% KEVIN LAMSON,711 MEDFORD CENTER 334,MEDFORD,OR,97504-6772,3,2231459.0,2335703.0,2231459.0,201906.0,P20
4474,16293159,EFILE,930386836,201806,5/13/2019 1:18:04 PM,FRUIT AND FLOWER DAY NURSERY DBA FRUIT AND FLOWER CHILD DEVELOPMENT CEN,990,93493095009249,201940959349300924,FRUIT AND FLOWER DAY NURSERY OF PORTLAND,,2378 NW IRVING ST,PORTLAND,OR,97210-3225,3,2222954.0,2282783.0,2200260.0,201806.0,P330
4650,16485112,EFILE,460987167,201806,7/12/2019 8:26:16 PM,KAIROSPDX,990,93493135092799,201941359349309279,KAIROSPDX,% MARSHA WILLIAMS CHAIR,PO BOX 12190,PORTLAND,OR,97212-0190,3,2219058.0,1676914.0,2138797.0,201806.0,B20
2491,16799359,EFILE,936031951,201811,10/30/2019 6:51:55 PM,PORTLAND METROPOLITAN ASSOCIATION OF REALTORS,990O,93493235011099,201942359349301109,PORTLAND METROPOLITAN ASSOCIATION OF REALTORS,,150 SW HARRISON ST STE 200,PORTLAND,OR,97201-5392,6,2211121.0,2487670.0,2211121.0,201811.0,
4489,16267119,EFILE,930820623,201806,5/3/2019 5:28:31 PM,UMPQUA VALLEY PUBLIC DEFENDER,990,93493014009779,201920149349300977,UMPQUA VALLEY DEFENSE SERVICES INC,,645 SE JACKSON ST,ROSEBURG,OR,97470-4935,3,2199392.0,1655109.0,2199392.0,201906.0,Z99Z
4453,16242626,EFILE,383692646,201806,4/25/2019 12:53:31 PM,ASHER COMMUNITY HEALTH CENTER,990,93493036004439,201930369349300443,ASHER COMMUNITY HEALTH CENTER,% GALEN FISHCER,PO BOX 307,FOSSIL,OR,97830-0307,3,2198233.0,2964912.0,2198233.0,201906.0,E32
799,16627103,EFILE,931031380,201812,9/6/2019 7:40:22 PM,SWEET HOME ECONOMIC DEVELOPMENT GROUP,990O,93493140009779,201921409349300977,SWEET HOME ECONOMIC DEVELOPMENT GROUP INC,,401 MAIN ST,SWEET HOME,OR,97386-1438,4,2194980.0,322065.0,439864.0,201812.0,
3164,16204788,EFILE,931318954,201806,4/3/2019 4:48:29 PM,KINGS VALLEY CHARTER SCHOOL,990,93493036004259,201900369349300425,KINGS VALLEY CHARTER SCHOOL,% MARK HAZELTON PRES,38840A KINGS VALLEY HWY,PHILOMATH,OR,97370-8927,3,2194735.0,710602.0,2194735.0,201806.0,B29
4978,16038010,EFILE,911355711,201712,1/28/2019 3:12:42 PM,LARCHE USA,990,93493318128658,201803189349312865,L ARCHE USA,,310 SW 4TH AVE STE 840,PORTLAND,OR,97204-2307,3,2194175.0,1154531.0,2194175.0,201812.0,
4480,16264802,EFILE,930591772,201806,5/3/2019 7:19:27 AM,PARROTT CREEK CHILD AND FAMILY SERVICES,990,93493038015539,201930389349301553,PARROTT CREEK CHILD AND FAMILY SERVICES,% THOMAS E BRADY,1001 MOLALLA AVE STE 209,OREGON CITY,OR,97045-3768,3,2192496.0,1131819.0,2179063.0,201806.0,F34Z
4291,16407161,EFILE,931164757,201806,6/13/2019 9:13:20 AM,INDIA PARTNERS,990,93493134035339,201931349349303533,INDIA PARTNERS,% BRENT HAMPLE,PO BOX 5470,EUGENE,OR,97405-0470,3,2191058.0,969209.0,2070705.0,201806.0,Q330
6212,16011131,EFILE,941712448,201712,12/17/2018 2:55:32 PM,WESTERN FIRE CHIEFS ASSOCIATION INC,990,93493319187178,201823199349318717,WESTERN FIRE CHEIFS ASSN,,25030 SW PARKWAY AVE STE 330,WILSONVILLE,OR,97070-9609,3,2190740.0,1136462.0,2190740.0,201812.0,
600,16583217,EFILE,930471981,201812,8/20/2019 12:45:52 PM,OREGON AFL-CIO,990O,93493135107849,201941359349310784,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,% TOM CHAMBERLAIN,3645 SE 32ND AVE,PORTLAND,OR,97202-3019,5,2189537.0,1856218.0,2189537.0,201812.0,
2333,16479594,EFILE,813225629,201812,7/12/2019 12:10:06 AM,CBRS ALLIANCE CO VITAL TECHNICAL MARKETING INC,990O,93493134058949,201941349349305894,CBRS ALLIANCE,% VITAL TECHNICAL MARKETING INC,3855 SW 153RD DR,BEAVERTON,OR,97003-5105,6,2182103.0,2112031.0,2182103.0,201812.0,S40
1578,16743165,EFILE,930951954,201812,10/11/2019 7:55:31 PM,CONSTRUCTION INDUSTRY TRAINING TRUST,990,93493204013089,201932049349301308,CONSTRUCTION INDUSTRY TRAINING TR,,8111 NE HOLMAN ST,PORTLAND,OR,97218-4021,3,2175869.0,3167784.0,2060236.0,201812.0,J22I
4588,16375594,EFILE,931027843,201806,6/4/2019 6:43:08 PM,FAITH BIBLE CHRISTIAN SCHOOL,990,93493129025809,201901299349302580,FAITH BIBLE CHRISTIAN SCHOOL,,8975 NE WALKER RD STE 120,HILLSBORO,OR,97006-7029,3,2175126.0,1028751.0,2140083.0,201806.0,B20Z
4027,16394546,EFILE,931163555,201806,6/7/2019 7:44:32 PM,ABC HOUSE INC,990,93493134102039,201931349349310203,ABC HOUSE INC,% BOB MCCANN PRES,PO BOX 68,ALBANY,OR,97321-0019,3,2171850.0,5419496.0,2082633.0,201806.0,P30
3880,16365096,EFILE,465759569,201806,5/31/2019 10:05:22 AM,CHILDRENS CANCER THERAPY DEVELOPMENT INSTITUTE,990,93493130049099,201941309349304909,CHILDRENS CANCER THERAPY DEVELOPMENT INSTITUTE,% CHARLES KELLER III,12655 SW BEAVERDAM RD,BEAVERTON,OR,97005-2129,3,2168938.0,1222909.0,2168938.0,201806.0,
3027,16206431,EFILE,931320949,201806,4/4/2019 4:05:41 PM,LUCKIAMUTE VALLEY CHARTER SCHOOLS,990,93493031002239,201930319349300223,LUCKIAMUTE VALLEY CHARTER SCHOOLS,% LUCY M OSGOOD TREAS,17475 BRIDGEPORT RD,DALLAS,OR,97338-9458,3,2167624.0,1912148.0,2167624.0,201906.0,B29
1677,16802614,EFILE,931152222,201812,10/31/2019 8:23:27 AM,SUSTAINABLE NORTHWEST,990,93493266012059,201902669349301205,SUSTAINABLE NORTHWEST,,1130 SW MORRISON ST STE 510,PORTLAND,OR,97205-2216,3,2160418.0,1961447.0,2160418.0,201812.0,S21Z
1972,16933197,EFILE,931306735,201812,12/6/2019 9:05:21 PM,OREGON HUNTERS ASSOCIATION INC,990,93493134102649,201941349349310264,OREGON HUNTERS ASSOCIATION,,PO BOX 1706,MEDFORD,OR,97501-0252,3,2156839.0,1602431.0,872283.0,201812.0,
3337,15985354,EFILE,208187573,201806,12/7/2018 5:10:39 PM,PORTLAND MALL MANAGEMENT INC,990,93493295009088,201832959349300908,PORTLAND MALL MANAGEMENT INC,% DOUGLAS L OBLETZ,1140 SW 11TH AVE,PORTLAND,OR,97205-2491,3,2152338.0,583309.0,2147622.0,201906.0,W20
3767,15945987,EFILE,371780990,201806,11/27/2018 8:58:42 AM,EASTERN OREGON WORKFORCE BOARD,990,93493302020018,201813029349302001,EASTERN OREGON WORKFORCE INVESTMENT BOARD,% WILLIAM ROSHOLT,PO BOX 933,LA GRANDE,OR,97850-0933,3,2151594.0,467640.0,2151594.0,201906.0,S30
2288,16670589,EFILE,930344910,201812,9/20/2019 8:06:02 AM,ROSEBURG COUNTRY CLUB,990O,93493178007099,201941789349300709,ROSEBURG COUNTRY CLUB,,5051 GARDEN VALLEY RD,ROSEBURG,OR,97471-9842,7,2135645.0,4776063.0,1327581.0,201812.0,
851,16543580,EFILE,930811823,201812,8/2/2019 10:30:18 PM,OREGON SCOTTISH RITE CLINICS,990PF,93491162005159,201901629349100515,OREGON SCOTTISH RITE CLINICS,% ECKHARD H GAZOW,709 SW 15TH AVE,PORTLAND,OR,97205-1906,3,2131103.0,4930161.0,,201812.0,
2014,16678467,EFILE,930228976,201812,9/23/2019 6:23:31 PM,MONITOR COOPERATIVE TELEPHONE COMPANY,990O,93493205013169,201912059349301316,MONITOR COOPERATIVE TELEPHONE COMPANY,,15265 WOODBURN MONITOR RD NE,WOORBURN,OR,97017-0000,12,2127235.0,5673582.0,2127235.0,201812.0,
5554,16054659,EFILE,930604321,201712,2/1/2019 5:51:49 PM,PACIFIC NORTHWEST OUTREACH INC,990,93493320010048,201843209349301004,PACIFIC NORTHWEST OUTREACH INC,,109 N MAIN AVE,GRESHAM,OR,97030-7200,3,2116804.0,15951.0,2116804.0,201812.0,X21Z
889,16352920,EFILE,930224840,201812,5/29/2019 4:35:25 PM,MERCHANTS EXCHANGE,990O,93493134105159,201901349349310515,MERCHANTS EXCHANGE,,200 SW MARKET ST STE L190,PORTLAND,OR,97201-5711,6,2115568.0,1511362.0,2110437.0,201812.0,
3423,16032037,EFILE,473873798,201806,12/20/2018 10:18:27 PM,SOUTHWESTERN OREGON WORKFORCE INVESTMENT BOARD,990,93493317041108,201803179349304110,SOUTHWESTERN OREGON WORKFORCE INVESTMENT BOARD,% COOS CO OFFICE OF LEGAL COUNSEL,990 S 2ND ST,COOS BAY,OR,97420-1405,3,2114667.0,394138.0,2114667.0,201806.0,J22
3876,16355434,EFILE,205865035,201806,5/29/2019 7:32:24 PM,NORTHWEST COMMUNITY CONNECTIONS INC DBA INDEPENDENCE NORTHWEST,990,93493133072379,201921339349307237,NORTHWEST COMMUNITY CONNECTIONS INC,,919 NE 19TH AVENUE,PORTLAND,OR,97232-2210,3,2112077.0,1801279.0,2112077.0,201806.0,P80
661,16507370,EFILE,384049236,201812,7/19/2019 12:27:11 PM,PARENTING WITH INTENT,990,93493135087939,201931359349308793,PARENTING WITH INTENT,% ASHLEY WOODCOCK,4423 NE TILLAMOOK ST,PORTLAND,OR,97213-1317,3,2111849.0,785563.0,2111849.0,201812.0,P40
5996,16004888,EFILE,930676661,201712,12/14/2018 3:21:43 PM,SAFEHAVEN HUMANE SOCIETY,990,93493319108428,201823199349310842,SAFEHAVEN HUMANE SOCIETY,,PO BOX 2018,ALBANY,OR,97321-0518,3,2110103.0,5267252.0,1769308.0,201812.0,D200
2682,16758793,EFILE,931012686,201809,10/18/2019 9:32:41 AM,MENTAL HEALTH ASSOCIATION OF OREGON DBA MENTAL HEALTH AND ADDICTION ASSN,990,93493225021319,201912259349302131,THE MENTAL HEALTH ASSOCIATION OF OREGON,,10373 NE HANCOCK ST STE 106,PORTLAND,OR,97220-3894,3,2106822.0,461832.0,2106822.0,201809.0,
1983,16928603,EFILE,232743830,201812,12/6/2019 7:56:07 AM,OREGON GOLF ASSOCIATION,990O,93493281010449,201942819349301044,OREGON GOLF ASSOCIATION,,2840 HAZELNUT DR,WOODBURN,OR,97071-9698,6,2102610.0,4802216.0,2102610.0,201812.0,
235,16669859,EFILE,926004561,201903,9/20/2019 5:40:22 AM,INTERACT MINISTRIES INC,990,93493191002429,201921919349300242,INTERACT MINISTRIES INC,,31000 SE KELSO RD,BORING,OR,97009-6024,3,2091717.0,2189247.0,2091717.0,201903.0,X21Z
5078,15965789,EFILE,930882138,201712,12/3/2018 7:20:07 AM,NORTHWEST OSTEOPATHIC MEDICAL FOUNDATION,990,93493311014768,201813119349301476,NORTHWEST OSTEOPATHIC MEDICAL FOUNDATION,% DAVID TATE EXE DIRECTOR,273 N GRANT ST,CANBY,OR,97013-3629,3,2086679.0,5588701.0,269878.0,201812.0,E120
2117,16944447,EFILE,133407905,201812,12/11/2019 9:32:22 AM,WRG FOUNDATION,990PF,93491302007319,201913029349100731,WRG FOUNDATION,% BYRON GRANT,C/O BYRON GRANT 9045 NW KAISER ROAD,PORTLAND,OR,97231-0000,3,2086345.0,10704350.0,,201812.0,
3467,16279656,EFILE,473200676,201806,5/8/2019 10:38:04 PM,OREGON NORTHWEST WORKFORCE INVESTMENT BOARD,990,93493096007069,201910969349300706,OREGON NORTHWEST WORKFORCE INVESTMENT BOARD,% CONNIE GREEN,3788 SE HIGH SCHOOL DR,LINCOLN CITY,OR,97367-1657,3,2079497.0,410748.0,2079497.0,201806.0,J22
2539,16856733,EFILE,930298400,201810,11/16/2019 1:17:37 AM,TOWN CLUB,990O,93493256002789,201932569349300278,THE TOWN CLUB,,2115 SW SALMON ST,PORTLAND,OR,97205-1559,7,2069053.0,5665896.0,1575969.0,201810.0,
3860,16369136,EFILE,272767920,201806,6/3/2019 5:56:25 AM,COMMUNITY PATHWAYS INC,990,93493133076629,201921339349307662,COMMUNITY PATHWAYS,,2475 SE LADD AVE,PORTLAND,OR,97214-0000,3,2068591.0,1896627.0,2068591.0,201806.0,E19
1793,16743869,EFILE,930457167,201812,10/12/2019 12:03:03 AM,TILLAMOOK COUNTY FAMILY YMCA,990,93493197012089,201931979349301208,TILLAMOOK COUNTY FAMILY YOUNG MENS CHRISTIAN ASSOCIATION,,610 STILLWELL AVE,TILLAMOOK,OR,97141-3752,3,2064656.0,3693765.0,2064656.0,201812.0,P27Z
4341,16463389,EFILE,931012211,201806,7/5/2019 10:26:45 AM,POLK CDC,990,93493133064109,201901339349306410,POLK COMMUNITY DEVELOPMENT CORPORATION,,PO BOX 33,DALLAS,OR,97338-0033,3,2055137.0,15724238.0,1991863.0,201806.0,S31Z
1816,16813737,EFILE,260389639,201812,11/4/2019 7:34:00 AM,FEDORA COMMONS INC,990,93493130009089,201931309349300908,FEDORA COMMONS INC,,9450 SW GEMINI DR PMB 79059,BEAVERTON,OR,97008-7105,3,2047469.0,1368190.0,2046053.0,201812.0,U41
6193,15959534,EFILE,931299601,201712,11/29/2018 7:14:55 PM,VILLAGE FOCUS INTERNATIONAL,990,93493269005198,201842699349300519,VILLAGE FOCUS INTERNATIONAL,% TODD SIGATY,19511 S UPPER HIGHLAND RD,BEAVERCREEK,OR,97004-9701,3,2046772.0,106103.0,2046772.0,201812.0,Q33
4470,16264745,EFILE,113764984,201806,5/3/2019 7:14:31 AM,ST STEPHENS ACADEMY,990,93493038011489,201930389349301148,ST STEPHENS ACADEMY,% JOHN BRECKENRIDGE,7275 SW HALL BLVD,BEAVERTON,OR,97008-5723,3,2046677.0,756897.0,2046677.0,201806.0,B29
318,16638008,EFILE,680516066,201901,9/12/2019 7:13:36 AM,ALS ASSOCIATION OREGON AND SOUTHWEST WASHINGTON CHAPTER,990,93493182016519,201911829349301651,AMYOTROPHIC LATERAL SCLEROSIS ASSOCIATION,% LANCE CHRISTIAN,700 NE MULTNOMAH ST STE 210,PORTLAND,OR,97232-4102,3,2045624.0,1799233.0,1936812.0,201901.0,
2774,16670620,EFILE,521938720,201809,9/20/2019 8:08:46 AM,NATIONAL DRY BEAN COUNCIL,990O,93493178005499,201941789349300549,THE NATIONAL DRY BEAN COUNCIL INCORPORATED,% STEVE WORTH EX,949 NW OVERTON,PORTLAND,OR,97209-3198,6,2042782.0,551334.0,2042782.0,201809.0,S41
4118,16540027,EFILE,936088946,201806,8/2/2019 9:27:05 AM,MERCY FOUNDATION INC,990,93493133081749,201941339349308174,MERCY FOUNDATION INC,,2700 NW STEWART PKWY,ROSEBURG,OR,97471-1281,3,2039175.0,4155428.0,1763328.0,201806.0,
5205,16118884,EFILE,936312666,201712,2/22/2019 12:03:50 PM,CONSTRUCTION INDUSTRY DRUG FREE WORKPLACE PROGRAM,990O,93493313038748,201843139349303874,CONSTRUCTION INDUSTRY DRUG FREE WORKPLACE TRUST,% A & I ADMINISTRATORS INC,9848 E BURNSIDE ST,PORTLAND,OR,97216-2330,9,2029485.0,939659.0,1270319.0,201812.0,
5606,16086648,EFILE,510172420,201712,2/11/2019 11:20:44 PM,PIVOT POINT INC,990,93493319186908,201803199349318690,PIVOT POINT INC,,PO BOX 12544,SALEM,OR,97309-0544,3,2027889.0,467175.0,2027889.0,201812.0,X20
4652,16216965,EFILE,931301833,201806,4/12/2019 2:27:20 PM,SWALLOWTAIL SCHOOL INC,990,93493045004409,201900459349300440,SWALLOWTAIL SCHOOL INC,,460 S HEATHER ST,CORNELIUS,OR,97113-7009,3,2024501.0,3745699.0,2011857.0,201806.0,B20
5385,16118125,EFILE,930391555,201712,2/22/2019 9:00:29 AM,OREGON TRAIL COUNCIL INC BOY SCOUTS OF AMERICA 697,990,93493317078068,201813179349307806,BOY SCOUTS OF AMERICA,,2525 MARTIN LUTHER KING JR BLVD,EUGENE,OR,97401-5898,3,2023751.0,8890888.0,1590748.0,201812.0,O410
6376,15768639,EFILE,930783096,201712,10/5/2018 12:59:59 PM,MOBILITY INTERNATIONAL USA,990,93493225021558,201802259349302155,MOBILITY INTERNATIONAL USA,,132 E BROADWAY STE 343,EUGENE,OR,97401-3155,3,2023154.0,1366672.0,2023154.0,201812.0,Q230
252,16757457,EFILE,930642086,201903,10/18/2019 6:36:12 AM,1000 FRIENDS OF OREGON,990,93493226018599,201942269349301859,1000 FRIENDS OF OREGON,,133 SW 2ND AVE STE 201,PORTLAND,OR,97204-3524,3,2020024.0,4276400.0,1940548.0,201903.0,C015
3530,16117752,EFILE,930384007,201806,2/22/2019 8:09:58 AM,JUNIOR ACHIEVEMENT OF OREGON AND SW WASHINGTON INC,990,93493318013418,201813189349301341,JUNIOR ACHIEVEMENT OF OREGON AND SW WASHINGTON INC,,7830 SE FOSTER RD,PORTLAND,OR,97206-5140,3,2015636.0,3863324.0,1901172.0,201906.0,Q320
1585,16820471,EFILE,330919329,201812,11/5/2019 7:19:51 PM,GRANTMAKERS FOR EDUCATION,990,93493254008339,201932549349300833,GRANTMAKERS FOR EDUCATION,% WILLIAM PORTER,700 SW AVE SUITE 4000,PORTLAND,OR,97204-0000,3,2015111.0,1502013.0,2015111.0,201812.0,B03
5191,16100347,EFILE,931289263,201712,2/15/2019 12:34:04 PM,PORTLAND AFFORDABLE HOUSING PRESERVATION TRUST,990,93493319075548,201843199349307554,PORTLAND AFFORDABLE HOUSING PRESERVATION TRUST,% TED GILBERT,1205 SW 18TH AVE,PORTLAND,OR,97205-1711,3,2015020.0,3772433.0,1506435.0,201812.0,L21
